series,months,cagr_pct,ann_vol_pct,excess_sharpe,max_dd_pct,calmar
Frozen return-level ensemble,319,9.21,8.47,0.823,-12.36,0.746
Frozen return-level ensemble on executable window,235,8.95,8.66,0.824,-12.36,0.724
Executable physical accounting before explicit IBKR costs,235,8.56,8.11,0.836,-11.37,0.753
IBKR-costed executable ensemble,235,7.79,8.12,0.748,-11.93,0.653
