scenario,risk,growth,inflation,rates,liquidity,dollar,oil
Custom,0,0,0,0,0,0,0
Spring,0.6,1.0,-0.4,-0.2,0.6,-0.4,0.0
Summer,0.8,1.0,0.7,0.4,0.2,-0.5,0.8
Fall,-0.3,-0.8,0.9,0.5,-0.4,0.5,0.7
Winter,-0.9,-1.0,-0.5,-0.8,0.1,0.6,-0.6
Dollar Wrecking Ball,-0.7,-0.8,-0.2,0.2,-0.5,1.3,-0.4
Tightening + Rate Hikes,-0.5,-0.3,0.5,1.2,-0.8,0.5,0.2
Easing + Rate Cuts,0.5,0.2,-0.5,-1.2,0.8,-0.5,0.1
Oil Shock,-0.6,-0.4,1.0,0.5,-0.3,0.3,1.5
Market Melt Up,1.4,0.6,0.1,0.0,0.7,-0.6,0.2
