date,ACWI,AGG,DBC,HYG,BIL,BTC,ETH,SPY,EEM,EFA,EWJ,EWU,EWL,EPP,XLK,SOXX,XLE,XLB,XLI,XLY,XLP,XLV,XLU,VNQ,XHB,SHY,IEF,TLT,TIP,LQD,EMB,UUP,FXA,FXC,FXF,FXY,FXE,GLD,USO,CPER,CORN,WEAT,BAL,JO,IWM,MTUM,QUAL,VLUE,USMV,SPHB,VT,BIV,DIA,FBTC,GDX,IBIT,IWF,QQQ,SMH,SPLV,XLC
2008-01-31,,59.76356506347656,27.03349876403809,31.476320266723633,72.63862609863281,,,97.84489440917967,30.937824249267575,41.4674072265625,36.71854782104492,21.679967880249023,16.825407028198242,22.884653091430664,9.094659805297852,14.115767478942873,19.612096786499023,13.416914939880373,25.880409240722656,12.890037536621094,16.5368595123291,24.439958572387695,10.282150268554688,28.36590003967285,18.418725967407227,62.0826530456543,57.231388092041016,54.15055465698242,64.09117126464844,52.56888961791992,41.63746643066406,19.451040267944336,66.21332550048828,91.00741577148438,91.64090728759766,93.91000366210938,136.6528778076172,91.4000015258789,578.7999877929688,,,,,,55.23857879638672,,,,,,,40.92390441894531,83.71170043945312,,43.574066162109375,,11.391124725341797,38.77293014526367,11.952035903930664,,
2008-02-29,,59.66792297363281,30.04646873474121,30.887924194335938,72.75741577148438,,,95.31636810302734,31.5548152923584,41.04320526123047,36.17007827758789,21.42559242248535,17.135364532470703,22.296966552734375,8.664374351501465,13.834603309631348,21.429601669311523,13.725881576538086,25.355810165405273,12.391523361206056,16.494298934936523,23.787261962890625,9.86005973815918,27.46349334716797,17.079179763793945,62.724063873291016,57.940673828125,53.904014587402344,65.00297546386719,52.197608947753906,41.468170166015625,19.0444278717041,69.15547943115234,92.90936279296876,95.30658721923828,96.12999725341795,139.82794189453125,96.18000030517578,643.3599853515625,,,,,,53.61896133422851,,,,,,,41.12229537963867,81.8803482055664,,45.97130584716797,,11.201885223388672,36.900001525878906,12.121868133544922,,
2008-03-31,34.88698959350586,59.745365142822266,29.771806716918945,31.180150985717773,72.92726135253906,,,94.46399688720705,30.370559692382812,41.215179443359375,35.70820999145508,21.09295654296875,17.438587188720703,21.83003044128418,8.764542579650879,13.660950660705566,20.928945541381836,13.532925605773926,26.276397705078125,12.170157432556152,17.028697967529297,22.70634078979492,10.018340110778809,29.244565963745117,18.2092342376709,62.88311767578125,58.715538024902344,55.056915283203125,64.91203308105469,51.88589096069336,41.506778717041016,18.588022232055664,68.08610534667969,89.41880798339844,100.091552734375,100.23999786376952,145.730224609375,90.41000366210938,650.8800048828125,,,,,,53.261959075927734,,,,,,,41.26123809814453,81.67340850830078,,41.28070831298828,,11.108599662780762,37.59089660644531,12.194046020507812,,
2008-04-30,37.66691207885742,59.941043853759766,31.569599151611328,32.23931121826172,72.87960052490234,,,98.9663543701172,33.14589309692383,43.45650100708008,38.3350944519043,22.345237731933594,17.404897689819336,23.52387237548828,9.31232738494873,14.71666431427002,23.10209274291992,14.253870964050291,27.049217224121097,12.459352493286133,16.90033721923828,22.932157516479492,10.530611991882324,31.110143661499023,18.570228576660156,62.35649871826172,57.29613494873047,53.688045501708984,64.00349426269531,52.53172302246094,41.98893737792969,18.762287139892575,70.63578033447266,91.14563751220705,95.90110778808594,95.9499969482422,144.53443908691406,86.6500015258789,740.0,,,,,,55.68754577636719,,,,,,,40.80123519897461,85.64228820800781,,37.73247146606445,,11.72484016418457,40.59162521362305,12.979528427124023,,
2008-05-31,37.99229431152344,59.182655334472656,33.75025177001953,32.07537841796875,72.94963073730469,,,100.46234893798828,34.194557189941406,43.972412109375,39.08562850952149,22.29631996154785,17.45880699157715,24.196908950805664,9.918804168701172,15.96534252166748,24.30313491821289,14.995035171508787,27.288103103637695,12.800054550170898,17.413761138916016,23.36924171447754,10.908218383789062,31.04453468322754,16.740066528320312,62.14061737060547,56.27775192260742,52.24480438232422,64.07185363769531,51.37329864501953,42.03286361694336,18.84526824951172,72.06414794921875,92.67662048339844,95.43605041503906,94.6500015258789,144.5085906982422,87.44999694824219,824.47998046875,,,,,,58.237945556640625,,,,,,,40.18345260620117,84.4791030883789,,39.82678985595703,,12.110493659973145,42.99910354614258,13.862664222717285,,
2008-06-30,34.957725524902344,59.07320785522461,37.270938873291016,30.896717071533203,73.12005615234375,,,92.06616973876952,31.024898529052734,40.108638763427734,36.16952133178711,20.733861923217773,16.296852111816406,21.98059463500977,8.989676475524902,14.149584770202637,25.07000160217285,14.122870445251465,24.006574630737305,11.323652267456056,16.42127227783203,22.380502700805664,10.826805114746094,27.749025344848633,13.881309509277344,62.29316711425781,56.92262268066406,53.631134033203125,65.21842193603516,50.70966339111328,41.20012283325195,18.662708282470703,72.65013122558594,90.32957458496094,97.47610473632812,93.9000015258789,146.5496063232422,91.4000015258789,909.280029296875,,,,,,53.85469436645508,,,,,,33.846946716308594,40.19236373901367,76.13595581054688,,42.05093765258789,,11.271842956542969,38.86471939086914,12.588908195495605,,
2008-07-31,33.854244232177734,59.305904388427734,33.62540817260742,31.07906723022461,73.25720977783203,,,91.23886108398438,29.317283630371097,38.776947021484375,34.80628204345703,19.883296966552734,16.207794189453125,20.95659065246582,8.769937515258789,12.98611068725586,21.08055305480957,13.66598129272461,24.19715690612793,11.34354019165039,16.820287704467773,23.38315773010254,10.129847526550291,28.613513946533203,14.84446144104004,62.56362533569336,57.33282852172851,53.43413162231445,64.82083129882812,50.90763092041016,41.52473449707031,18.85356712341309,71.67739868164062,90.2042465209961,95.1634521484375,92.41999816894533,145.7543182373047,90.08000183105467,799.9199829101562,,,,,,55.83282470703125,,,,,,32.938262939453125,40.23918914794922,76.43445587158203,,37.62862014770508,,11.045408248901367,39.11423873901367,11.85013484954834,,
2008-08-31,33.28835678100586,59.74593353271485,31.42810440063477,30.80008316040039,73.31473541259766,,,92.64883422851562,27.465662002563477,37.12984085083008,33.094970703125,19.212846755981445,15.68717098236084,19.91967010498047,8.926889419555664,13.558177947998049,21.151391983032227,13.452771186828612,24.86068344116211,12.126809120178224,17.274555206298828,23.866191864013672,10.018123626708984,29.29275131225586,16.669395446777344,62.85544204711914,58.20807647705078,54.89784622192383,65.32698059082031,50.98123550415039,41.821754455566406,19.865949630737305,65.70851135253906,87.0814208984375,90.5616226196289,91.6500015258789,137.48300170898438,81.70999908447266,742.9600219726562,,,,,,57.82908248901367,,,,,,32.3301887512207,40.4579963684082,77.77589416503906,,32.57454299926758,,11.188641548156738,39.68209457397461,12.100639343261719,,
2008-09-30,29.20689392089844,58.69460678100586,28.207056045532227,27.518041610717773,73.68736267089844,,,83.92376708984375,23.433256149291992,32.88358688354492,30.919574737548828,16.661136627197266,14.406167984008787,17.395183563232422,7.815673351287842,11.203598022460938,17.993309020996094,11.370616912841797,21.85955238342285,11.132142066955566,17.05841064453125,22.09267807006836,8.917879104614258,29.25651741027832,16.700498580932617,63.344444274902344,58.12636947631836,55.7081184387207,62.699520111083984,45.51076126098633,38.83358383178711,20.28086280822754,60.757476806640625,87.13787841796875,88.94863891601562,93.87999725341795,132.03858947753906,85.06999969482422,656.0800170898438,,,,,,53.34646224975586,,,,,,29.385496139526367,38.87425994873047,73.2219009399414,,29.24266815185547,,9.963685035705566,33.50110626220703,10.487220764160156,,
2008-10-31,23.830955505371097,57.35573196411133,21.132404327392575,24.367218017578125,73.51602935791016,,,70.06069946289062,17.439502716064453,26.03236389160156,26.10470199584961,13.368940353393556,12.583992004394531,12.782307624816896,6.555713176727295,9.227627754211426,14.610678672790527,8.82414436340332,17.870895385742188,9.169052124023438,14.907573699951172,19.556249618530273,7.758527755737305,19.97430419921875,11.92043113708496,64.04418182373047,57.62485122680664,54.67152404785156,57.62739944458008,44.62736892700195,31.302318572998047,21.990297317504883,51.386695861816406,77.29437255859375,85.88510131835938,100.97000122070312,119.99405670166016,71.33999633789062,444.7200012207031,,,,,,42.16725158691406,,,,,,23.086164474487305,37.69344711303711,63.2904167175293,,18.130626678466797,,8.196696281433105,28.317960739135742,8.810113906860352,,
