ticker,source_symbol,first_date,last_date,observations,download_status
DIA,DIA,2008-01-31,2026-07-31,223,ok
FBTC,FBTC,2024-01-31,2026-07-31,31,ok
GDX,GDX,2008-01-31,2026-07-31,223,ok
IBIT,IBIT,2024-01-31,2026-07-31,31,ok
IWF,IWF,2008-01-31,2026-07-31,223,ok
QQQ,QQQ,2008-01-31,2026-07-31,223,ok
SMH,SMH,2008-01-31,2026-07-31,223,ok
SPLV,SPLV,2011-05-31,2026-07-31,183,ok
XLC,XLC,2018-06-30,2026-07-31,98,ok
