date,risk,growth,inflation,rates,liquidity,dollar,oil
2008-01-31,,155.80525344151516,113.63570572826556,2.17,7517.5,19.451038360595703,578.7999877929688
2008-02-29,,153.0410616271799,113.84158458320296,1.65,7604.0,19.0444278717041,643.3599853515625
2008-03-31,59.406724961810895,153.62023420091552,112.18209491164052,1.62,7670.0,18.58802604675293,650.8800048828125
2008-04-30,65.72941721054261,159.33973091597065,113.35220852507962,2.29,7712.5,18.76228904724121,740.0
2008-05-31,67.49689101018653,156.00733021892214,115.5266610900456,2.66,7725.2,18.845266342163086,824.47998046875
2008-06-30,61.40208998312481,145.5418366312313,116.26171382397492,2.63,7743.9,18.662708282470703,909.280029296875
2008-07-31,59.03847550741743,143.21715629299402,114.72636310177404,2.52,7791.2,18.853567123413086,799.9199829101562
2008-08-31,57.17868423046786,143.27486861392626,113.88343123261959,2.36,7805.8,19.865951538085938,742.9600219726562
2008-09-30,50.23853049283307,127.57535385291204,109.45676250587631,2.0,7872.4,20.280860900878906,656.0800170898438
2008-10-31,41.3482110012288,119.34482079050929,101.47776905213426,1.56,7974.9,21.990297317504883,444.7200012207031
2008-11-30,35.012836980267686,109.76124173574752,95.00147169544869,1.0,8027.0,22.031787872314453,336.7200012207031
2008-12-31,35.115707660350516,112.296495857018,96.21865604008461,0.76,8204.7,20.626041412353516,264.79998779296875
2009-01-31,32.37743852641526,106.49659635524617,100.0697724620682,0.94,8289.0,21.678647994995117,233.75999450683594
2009-02-28,29.449676092554995,96.12800221135055,98.5952290808153,1.0,8319.3,22.121408462524414,216.39999389648438
2009-03-31,31.131396642939666,100.34094913831741,101.06909869308961,0.81,8386.4,21.4196720123291,232.39999389648438
2009-04-30,36.10042228465735,113.624389172848,102.05646428742672,0.91,8391.1,21.169050216674805,229.0399932861328
2009-05-31,40.731736133634364,111.74736346962008,106.30239605921417,0.92,8449.2,19.82405662536621,291.20001220703125
2009-06-30,40.33828046998969,109.62483648223947,107.10985958365069,1.11,8459.3,19.966073989868164,303.44000244140625
2009-07-31,43.77528895608324,111.77114249570555,106.31969636758981,1.13,8463.5,19.48154067993164,294.4800109863281
2009-08-31,44.73290281349329,115.69142697563765,106.40199083300412,0.97,8463.0,19.431415557861328,288.3999938964844
2009-09-30,46.38694143602814,118.51663181549006,107.34747843682568,0.95,8461.6,19.03877830505371,289.5199890136719
2009-10-31,45.19707620691237,112.16218303045221,108.72598774422937,0.9,8487.9,18.963594436645508,314.55999755859375
2009-11-30,46.69461973062421,117.6798638399586,109.55971622645814,0.67,8517.0,18.520828247070312,313.20001220703125
2009-12-31,49.760548548177624,119.91552655703211,112.21124117667782,1.14,8512.2,19.28104591369629,314.239990234375
2010-01-31,46.033733411741444,119.36384157187382,111.2905431335539,0.82,8477.7,19.59014320373535,285.1199951171875
2010-02-28,46.87811670661516,121.86806268374734,109.47694165661325,0.81,8527.3,19.748868942260742,310.55999755859375
2010-03-31,50.377735845849685,127.65280370319167,110.64002329645156,1.02,8523.5,19.882532119750977,322.32000732421875
2010-04-30,49.44468716296242,134.5324740289918,111.57841910532618,0.97,8554.8,20.016197204589844,330.6400146484375
2010-05-31,43.53206124007065,128.20396012130985,108.60677074659957,0.76,8609.0,21.169050216674805,272.32000732421875
2010-06-30,40.741213263307756,122.49041422375191,106.74297263493288,0.61,8628.1,20.935138702392578,271.67999267578125
2010-07-31,44.14289838745966,127.84200509239213,105.52382106180914,0.55,8639.5,19.83241081237793,282.7200012207031
