date,ACWI,AGG,DBC,HYG,BIL,BTC,ETH,SPY,EEM,EFA,EWJ,EWU,EWL,EPP,XLK,SOXX,XLE,XLB,XLI,XLY,XLP,XLV,XLU,VNQ,XHB,SHY,IEF,TLT,TIP,LQD,EMB,UUP,FXA,FXC,FXF,FXY,FXE,GLD,USO,CPER,CORN,WEAT,BAL,JO,IWM,MTUM,QUAL,VLUE,USMV,SPHB
2008-01-31,,60.36618423461914,27.033496856689453,31.950645446777344,73.28206634521484,,,98.09696197509766,31.098644256591797,42.123592376708984,36.91804504394531,21.990516662597656,17.122982025146484,23.233882904052734,9.105507850646973,14.122465133666992,19.753536224365234,13.467079162597656,25.944074630737305,12.91572380065918,16.651611328125,24.547746658325195,10.347806930541992,28.61593246459961,18.445302963256836,62.63197708129883,57.80311584472656,54.76578140258789,65.80008697509766,53.161190032958984,42.168548583984375,19.451040267944336,66.4557876586914,91.03449249267578,91.64089965820312,93.91000366210938,136.90719604492188,91.4000015258789,578.7999877929688,,,,,,55.36994934082031,,,,,
2008-02-29,,60.26959991455078,30.046464920043945,31.35338592529297,73.40188598632812,,,95.56190490722656,31.718841552734375,41.69269561767578,36.366607666015625,21.732501983642578,17.438430786132812,22.637226104736328,8.67470932006836,13.841172218322754,21.584148406982422,13.777214050292969,25.41819190979004,12.416217803955078,16.608749389648438,23.892166137695312,9.923020362854004,27.705549240112305,17.103822708129883,63.27914810180664,58.519439697265625,54.51646423339844,66.7362289428711,52.785736083984375,41.99713897705078,19.0444278717041,69.4087905883789,92.93704223632812,95.30662536621094,96.12999725341797,140.08804321289062,96.18000030517578,643.3599853515625,,,,,,53.7464485168457,,,,,
2008-03-31,35.113651275634766,60.347755432128906,29.771806716918945,31.650007247924805,73.57321166992188,,,94.70734405517578,30.528419494628906,41.86737823486328,35.9022216796875,21.395109176635742,17.74701499938965,22.163162231445312,8.774991989135742,13.667441368103027,21.079879760742188,13.583525657653809,26.341045379638672,12.194403648376465,17.1468505859375,22.806486129760742,10.082315444946289,29.502330780029297,18.23550796508789,63.43952560424805,59.30203628540039,55.68248748779297,66.6428451538086,52.470523834228516,42.03620910644531,18.588024139404297,68.33541870117188,89.44537353515625,100.09156036376953,100.23999786376953,146.00137329101562,90.41000366210938,650.8800048828125,,,,,,53.38859939575195,,,,,
2008-04-30,37.91162872314453,60.545406341552734,31.56960105895996,32.72512435913086,73.52510833740234,,,99.2213134765625,33.318180084228516,44.144187927246094,38.54336929321289,22.665319442749023,17.712726593017578,23.882858276367188,9.323434829711914,14.723657608032227,23.268705368041992,14.307168006896973,27.115781784057617,12.48418140411377,17.017597198486328,23.03329849243164,10.597858428955078,31.38435935974121,18.597021102905273,62.908355712890625,57.868446350097656,54.29804229736328,65.71006774902344,53.12358856201172,42.52450180053711,18.762287139892578,70.89453125,91.17276000976562,95.901123046875,95.94999694824219,144.80340576171875,86.6500015258789,740.0,,,,,,55.819984436035156,,,,,
2008-05-31,38.23912811279297,59.77941131591797,33.7502555847168,32.55873107910156,73.59574890136719,,,100.7212142944336,34.372283935546875,44.66826248168945,39.29798889160156,22.615692138671875,17.7675838470459,24.56615447998047,9.930628776550293,15.972918510437012,24.478378295898438,15.051102638244629,27.355241775512695,12.825566291809082,17.534591674804688,23.472312927246094,10.977872848510742,31.318147659301758,16.76422119140625,62.69049835205078,56.83988571166992,52.83836364746094,65.7802734375,51.95210647583008,42.569034576416016,18.845266342163086,72.32815551757812,92.70421600341797,95.43604278564453,94.6500015258789,144.7774200439453,87.44999694824219,824.47998046875,,,,,,58.37647247314453,,,,,
2008-06-30,35.18484115600586,59.66881561279297,37.27093505859375,31.362302780151367,73.76774597167969,,,92.30333709716797,31.186153411865234,40.74332809448242,36.36604690551758,21.030860900878906,16.585081100463867,22.31603240966797,9.00039005279541,14.156302452087402,25.25079345703125,14.17567253112793,24.065637588500977,11.34622573852539,16.535213470458984,22.479206085205078,10.895944595336914,27.993600845336914,13.901336669921875,62.844478607177734,57.491188049316406,54.240509033203125,66.9573745727539,51.281063079833984,41.72563552856445,18.662708282470703,72.91619873046875,90.35650634765625,97.47608947753906,93.9000015258789,146.82223510742188,91.4000015258789,909.280029296875,,,,,,53.98277282714844,,,,,
2008-07-31,34.074188232421875,59.903926849365234,33.62540817260742,31.547386169433594,73.90606689453125,,,91.47392272949219,29.469675064086914,39.390567779541016,34.99539566040039,20.16811752319336,16.494449615478516,21.27639389038086,8.780391693115234,12.992276191711426,21.232593536376953,13.717086791992188,24.256685256958008,11.366142272949219,16.936996459960938,23.48628807067871,10.194533348083496,28.865703582763672,14.865885734558105,63.1173210144043,57.905479431152344,54.041255950927734,66.54923248291016,51.481170654296875,42.054378509521484,18.853567123413086,71.9399185180664,90.2310791015625,95.16343688964844,92.41999816894531,146.0255889892578,90.08000183105469,799.9199829101562,,,,,,55.965606689453125,,,,,
2008-08-31,33.50462341308594,60.34839630126953,31.4281005859375,31.26421356201172,73.96414947509766,,,92.88753509521484,27.608430862426758,37.717411041259766,33.27479553222656,19.488061904907227,15.964620590209961,20.223648071289062,8.937533378601074,13.564611434936523,21.303926467895508,13.503067970275879,24.92183494567871,12.150976181030273,17.39442253112793,23.9714412689209,10.082097053527832,29.550933837890625,16.693449020385742,63.411720275878906,58.78947830200195,55.521568298339844,67.06885528564453,51.55567169189453,42.355224609375,19.865951538085938,65.9491958618164,87.1073989868164,90.56163024902344,91.6500015258789,137.73878479003906,81.70999908447266,742.9600219726562,,,,,,57.96659851074219,,,,,
2008-09-30,29.396648406982422,59.2863655090332,28.207054138183594,27.932720184326172,74.34008026123047,,,84.13997650146484,23.5550594329834,33.403961181640625,31.08757781982422,16.89980125427246,14.660958290100098,17.66063690185547,7.82499361038208,11.208919525146484,18.123071670532227,11.41313362121582,21.9133358001709,11.154328346252441,17.176780700683594,22.19011688232422,8.974825859069824,29.51437759399414,16.72459602355957,63.90495681762695,58.707027435302734,56.341060638427734,64.37136840820312,46.02351760864258,39.32892990112305,20.280860900878906,60.980018615722656,87.163818359375,88.94863891601562,93.87999725341797,132.28427124023438,85.06999969482422,656.0800170898438,,,,,,53.47333526611328,,,,,
2008-10-31,23.985776901245117,57.93401336669922,21.132402420043945,24.73442840576172,74.1672134399414,,,70.24119567871094,17.5301456451416,26.44431495666504,26.246545791625977,13.560441017150879,12.80655288696289,12.977373123168945,6.563533306121826,9.232012748718262,14.716049194335938,8.857139587402344,17.914854049682617,9.187326431274414,15.01101016998291,19.642498016357422,7.808072566986084,20.150352478027344,11.937633514404297,64.61097717285156,58.200443267822266,55.29275894165039,59.16400909423828,45.13019561767578,31.701574325561523,21.99029541015625,51.574913024902344,77.31751251220703,85.8851089477539,100.97000122070312,120.21735382080078,71.33999633789062,444.7200012207031,,,,,,42.267539978027344,,,,,
