as_of,ticker,side,asset_12m_return,bill_12m_return,excess_12m_return,trailing_36m_vol,sleeve_weight,sleeve_weight_pct,annual_short_borrow_bps
2026-07-31,HYG,LONG,0.04844212651650226,0.038057653336553754,0.010384473179948506,0.04507860582912227,0.25596314096757866,25.596314096757865,0.0
2026-07-31,UUP,LONG,0.044160431114061316,0.038057653336553754,0.006102777777507562,0.06853576275266955,0.16835679760508834,16.835679760508835,0.0
2026-07-31,EFA,LONG,0.24764831609271498,0.038057653336553754,0.20959066275616123,0.12162689802296772,0.0948676791566504,9.48676791566504,0.0
2026-07-31,SPY,LONG,0.1949552594974533,0.038057653336553754,0.15689760616089954,0.1287875879334615,0.08959296251765286,8.959296251765286,0.0
2026-07-31,EEM,LONG,0.3456559589107695,0.038057653336553754,0.30759830557421575,0.15878576940545125,0.07266684906125734,7.266684906125734,0.0
2026-07-31,DBC,LONG,0.3559541105735793,0.038057653336553754,0.31789645723702553,0.16043685765658386,0.07191901977511733,7.191901977511733,0.0
2026-07-31,QQQ,LONG,0.2235243905920412,0.038057653336553754,0.18546673725548746,0.17553812497561702,0.06573194022702634,6.573194022702634,0.0
2026-07-31,GLD,LONG,0.2263665798261436,0.038057653336553754,0.18830892648958986,0.1798295702318365,0.064163315986276,6.4163315986276,0.0
2026-07-31,IWM,LONG,0.34110275631102205,0.038057653336553754,0.3030451029744683,0.1975862783589237,0.058397079161040935,5.839707916104094,0.0
2026-07-31,TLT,SHORT,-0.010605319454526918,0.038057653336553754,-0.04866297279108067,0.1384242521226386,-0.08335578023017892,-8.335578023017892,100.0
2026-07-31,FXY,SHORT,-0.055992172251438266,0.038057653336553754,-0.09404982558799202,0.10089464994693535,-0.11436148046036229,-11.436148046036228,100.0
2026-07-31,FXF,SHORT,-0.00018335451599182928,0.038057653336553754,-0.03824100785254558,0.08585981237218795,-0.1343872205129477,-13.438722051294771,100.0
2026-07-31,IEF,SHORT,0.01773594942638912,0.038057653336553754,-0.020321703910164635,0.06552957463367386,-0.17608021420807818,-17.608021420807816,100.0
