as_of,ticker,weight
1999-12-31,BIL,0.5371368742189897
1999-12-31,XLI,0.11430886018408315
1999-12-31,EEM,0.1084657354235682
1999-12-31,XLB,0.08916140741141163
1999-12-31,SHY,0.047305566497680654
1999-12-31,XLV,0.03601652538755758
1999-12-31,HYG,0.03518254267433483
1999-12-31,SPY,0.03242248820237429
2000-01-31,BIL,0.7306843703554929
2000-01-31,EEM,0.09881082054598282
2000-01-31,HYG,0.0493637631872157
2000-01-31,SPY,0.04376650103024369
2000-01-31,SHY,0.03986872089689206
2000-01-31,XLV,0.0375058239841728
2000-02-29,BIL,0.7241025599468354
2000-02-29,EEM,0.09865460194761883
2000-02-29,IEF,0.044558369470646
2000-02-29,HYG,0.04282885231291106
2000-02-29,SHY,0.041993842970763
2000-02-29,SPY,0.03651406586518886
2000-02-29,TLT,0.011347707486036935
2000-03-31,BIL,0.486100699665867
2000-03-31,XLE,0.11760225545400901
2000-03-31,IEF,0.07742066793075301
2000-03-31,SHY,0.07107121398448517
2000-03-31,XLI,0.06545431923949518
2000-03-31,EEM,0.061540258187390014
2000-03-31,XLV,0.05895212582874889
2000-03-31,HYG,0.019585686622210025
2000-03-31,SPY,0.01655807303982899
2000-03-31,TLT,0.01654814389159897
2000-03-31,QQQ,0.009166556155613717
2000-04-30,BIL,0.4846942444337202
2000-04-30,XLE,0.1229787678181225
2000-04-30,SHY,0.06954878567792563
2000-04-30,XLI,0.06878545499211607
2000-04-30,EEM,0.06306997998919725
2000-04-30,XLV,0.0609906586316871
2000-04-30,XLU,0.04992691102328137
2000-04-30,IEF,0.04356370249729836
2000-04-30,TLT,0.01086275856789254
2000-04-30,HYG,0.009581169568806898
2000-04-30,SPY,0.009463447113329767
2000-04-30,QQQ,0.0065341196866223325
2000-05-31,BIL,0.4876365215877391
2000-05-31,XLE,0.09111624873778906
2000-05-31,SHY,0.07792914839074103
2000-05-31,IEF,0.07559392466602008
2000-05-31,XLV,0.06749617326948325
2000-05-31,XLP,0.0617380703373975
2000-05-31,XLI,0.05660455347998552
2000-05-31,XLU,0.04232282924796328
2000-05-31,TLT,0.022900792562163326
2000-05-31,SPY,0.01666173772071796
2000-06-30,BIL,0.47869464816923113
2000-06-30,IEF,0.09534520781500619
2000-06-30,XLE,0.08145614277919234
2000-06-30,SHY,0.08010727189584475
2000-06-30,XLV,0.06553973176361975
2000-06-30,XLP,0.06236218594918244
2000-06-30,XLI,0.04226486586637874
2000-06-30,TLT,0.036032520396275414
2000-06-30,HYG,0.023023266765365213
2000-06-30,SPY,0.020945965987984407
2000-06-30,QQQ,0.014228192611919615
2000-07-31,BIL,0.45428562586317967
2000-07-31,XLE,0.10976063076035508
2000-07-31,IEF,0.0973335972706409
2000-07-31,SHY,0.0676331059399781
2000-07-31,HYG,0.05704874638832768
2000-07-31,XLP,0.052942879416773274
2000-07-31,SPY,0.04784148405663823
2000-07-31,TLT,0.04738820972294502
2000-07-31,XLI,0.04311694721297403
2000-07-31,XLU,0.022648773368188088
2000-08-31,BIL,0.41908944941734727
2000-08-31,XLE,0.1246159159428092
2000-08-31,SHY,0.0742217901331413
2000-08-31,IEF,0.06635464607972201
2000-08-31,XLP,0.056215308834428324
2000-08-31,XLI,0.055861681350657715
2000-08-31,XLV,0.050052110494361396
2000-08-31,HYG,0.035811049628760305
2000-08-31,TLT,0.03399947345997988
2000-08-31,SPY,0.0323818990297976
2000-08-31,XLU,0.030871523435827386
2000-08-31,QQQ,0.020525152193167598
2000-09-30,BIL,0.5750002024588425
2000-09-30,SHY,0.08900613320889139
2000-09-30,XLP,0.07432026364712022
2000-09-30,IEF,0.0693566917630526
2000-09-30,XLE,0.06534134095292073
2000-09-30,TLT,0.045143837259518385
2000-09-30,XLU,0.04417194954844846
2000-09-30,XLI,0.02411703553553508
2000-09-30,HYG,0.013542545625670702
2000-10-31,BIL,0.4609958581893988
2000-10-31,XLP,0.09013187837256505
2000-10-31,IEF,0.08620839840078982
2000-10-31,SHY,0.08374936651711196
2000-10-31,XLV,0.07019456084878051
2000-10-31,XLE,0.06537774758443758
2000-10-31,TLT,0.05228166339171877
2000-10-31,XLU,0.04881949201246776
2000-10-31,XLI,0.025055684736946374
2000-10-31,HYG,0.017185349945783333
2000-11-30,BIL,0.5835175360696077
2000-11-30,IEF,0.10055521158644154
2000-11-30,SHY,0.09393501144410984
2000-11-30,XLP,0.0886038686674491
2000-11-30,TLT,0.06400377944750167
2000-11-30,XLU,0.04792023921513337
2000-11-30,XLI,0.021464353569756883
2000-12-31,BIL,0.5052730839664604
2000-12-31,IEF,0.11487175353103696
2000-12-31,SHY,0.09804355287283939
2000-12-31,XLP,0.09461944563610683
2000-12-31,TLT,0.09019688227107922
2000-12-31,XLU,0.043236968382106875
2000-12-31,XLE,0.034934302871764834
2000-12-31,XLI,0.011655113508700075
2000-12-31,XLB,0.0071688969599054235
2001-01-31,BIL,0.4268758742151104
2001-01-31,XLP,0.10521096386574696
2001-01-31,SHY,0.10157039832879959
2001-01-31,IEF,0.10108178562395323
2001-01-31,TLT,0.07659304107776793
2001-01-31,XLV,0.06526195912879303
2001-01-31,XLE,0.04607609403914485
2001-01-31,XLU,0.04442618190514319
2001-01-31,HYG,0.013107662785590859
2001-01-31,XLI,0.011707380749324021
2001-01-31,XLB,0.008088658280626068
2001-02-28,BIL,0.5101199263511339
2001-02-28,SHY,0.09768109373032481
2001-02-28,IEF,0.09306939305049923
2001-02-28,XLP,0.089039752199448
2001-02-28,TLT,0.07603609790291552
2001-02-28,XLE,0.06246693326534106
2001-02-28,XLU,0.046459378864818435
2001-02-28,HYG,0.01484346957831258
2001-02-28,XLB,0.010283955057206496
2001-03-31,BIL,0.6470921366825265
2001-03-31,IEF,0.10551261566051402
2001-03-31,SHY,0.09404555706671328
2001-03-31,TLT,0.07865785908648712
