as_of,effective_month,ticker,side,core_component,long_only_component,tsmom_component,raw_weight,target_weight,target_weight_pct,target_notional_usd,reference_price,estimated_shares,annual_short_borrow_bps,annual_futures_roll_bps
2026-07-31,2026-08,HYG,LONG,0.04344337231784018,0.04128071269371727,0.14523377134839963,0.22995785635995708,0.22995785635995708,22.99578563599571,229957.85635995708,79.4800033569336,2893.279399187346,0.0,0.0
2026-07-31,2026-08,SPY,LONG,0.03162708170156565,0.035687522147669584,0.05083514674623671,0.11814975059547195,0.11814975059547195,11.814975059547194,118149.75059547195,747.030029296875,158.15930546550814,0.0,0.0
2026-07-31,2026-08,UUP,LONG,0.009819925105976325,0.009719873187441148,0.09552583452405465,0.11506563281747212,0.11506563281747212,11.506563281747212,115065.63281747211,28.170000076293945,4084.6869899125036,0.0,0.0
2026-07-31,2026-08,DBC,LONG,0.033399754568386744,0.03834896859759263,0.040806931943937336,0.11255565510991672,0.11255565510991672,11.255565510991673,112555.65510991671,29.450000762939453,3821.923673820725,0.0,0.0
2026-07-31,2026-08,IWM,LONG,0.031012349948960773,0.03806350565958926,0.033134567774987876,0.10221042338353792,0.10221042338353792,10.221042338353792,102210.42338353791,291.20001220703125,350.9973183341438,0.0,0.0
2026-07-31,2026-08,EEM,LONG,0.019405218688835702,0.024201456846266792,0.04123125111403477,0.08483792664913727,0.08483792664913727,8.483792664913727,84837.92664913727,64.08999633789062,1323.7311826616576,0.0,0.0
2026-07-31,2026-08,QQQ,LONG,0.020891604812436054,0.025228071667188733,0.03729637611544943,0.0834160525950742,0.0834160525950742,8.34160525950742,83416.0525950742,687.989990234375,121.24602651073043,0.0,0.0
2026-07-31,2026-08,GLD,LONG,0.04283632497814452,0.0,0.036406336973674916,0.07924266195181943,0.07924266195181943,7.924266195181944,79242.66195181943,371.5400085449219,213.2816389334782,0.0,0.0
2026-07-31,2026-08,XLE,LONG,0.03331692568825459,0.039572964867703626,0.0,0.07288989055595821,0.07288989055595821,7.288989055595821,72889.8905559582,59.54999923706055,1224.0116119194786,0.0,0.0
2026-07-31,2026-08,TIP,LONG,0.05735615156746734,0.0,0.0,0.05735615156746734,0.05735615156746734,5.735615156746734,57356.151567467336,107.62999725341795,532.9011709664975,0.0,0.0
2026-07-31,2026-08,EFA,LONG,0.0,0.0,0.053828026843659796,0.053828026843659796,0.053828026843659796,5.38280268436598,53828.0268436598,105.58000183105467,509.8316528710946,0.0,0.0
2026-07-31,2026-08,SHY,LONG,0.026369012966524847,0.022968306196330685,0.0,0.04933731916285553,0.04933731916285553,4.933731916285553,49337.31916285553,82.0,601.6746239372626,0.0,0.0
2026-07-31,2026-08,XLI,LONG,0.01928757053040089,0.022527446024162703,0.0,0.04181501655456359,0.04181501655456359,4.181501655456359,41815.01655456359,179.83999633789062,232.51232988239087,0.0,0.0
2026-07-31,2026-08,VLUE,LONG,0.017721875094945223,0.022452880463516404,0.0,0.04017475555846163,0.04017475555846163,4.017475555846163,40174.75555846163,191.13999938964844,210.18497272548055,0.0,0.0
2026-07-31,2026-08,XLB,LONG,0.01951008593540418,0.020083756391880113,0.0,0.039593842327284294,0.039593842327284294,3.9593842327284294,39593.84232728429,50.43000030517578,785.1247687424792,0.0,0.0
2026-07-31,2026-08,XLP,LONG,0.01653171927487732,0.016036017477149993,0.0,0.032567736752027315,0.032567736752027315,3.2567736752027314,32567.736752027315,85.05000305175781,382.92458064002625,0.0,0.0
2026-07-31,2026-08,XLV,LONG,0.014009073959486095,0.015252974231392156,0.0,0.02926204819087825,0.02926204819087825,2.926204819087825,29262.04819087825,162.5500030517578,180.01874894804445,0.0,0.0
2026-07-31,2026-08,SMH,LONG,0.011515679546592215,0.014817855202333018,0.0,0.026333534748925233,0.026333534748925233,2.633353474892523,26333.534748925234,540.530029296875,48.71798664577446,0.0,0.0
2026-07-31,2026-08,CPER,LONG,0.00881664145072908,0.009424956584558377,0.0,0.018241598035287458,0.018241598035287458,1.8241598035287458,18241.598035287458,39.560001373291016,461.1121689091572,0.0,0.0
2026-07-31,2026-08,USMV,LONG,0.008120045015098552,0.0075550738476137325,0.0,0.015675118862712285,0.015675118862712285,1.5675118862712285,15675.118862712285,97.93000030517578,160.06452378090952,0.0,0.0
2026-07-31,2026-08,LQD,LONG,0.014122872691309029,0.0,0.0,0.014122872691309029,0.014122872691309029,1.412287269130903,14122.872691309029,106.25,132.92115474173204,0.0,0.0
2026-07-31,2026-08,XHB,LONG,0.008956287630499698,0.0,0.0,0.008956287630499698,0.008956287630499698,0.8956287630499697,8956.287630499697,103.69000244140624,86.37561403820749,0.0,0.0
2026-07-31,2026-08,XLU,LONG,0.0064463724873740115,0.0,0.0,0.0064463724873740115,0.0064463724873740115,0.6446372487374011,6446.372487374011,44.349998474121094,145.3522595076428,0.0,0.0
2026-07-31,2026-08,TLT,SHORT,0.013132382731350242,0.0,-0.04729616256760445,-0.03416377983625421,-0.03416377983625421,-3.416377983625421,-34163.77983625421,82.25,-415.36510439214845,100.0,0.0
2026-07-31,2026-08,FXY,SHORT,0.003980862042781786,0.0,-0.06488883142103852,-0.06090796937825673,-0.06090796937825673,-6.090796937825673,-60907.969378256734,57.65999984741211,-1056.3296833062757,100.0,0.0
2026-07-31,2026-08,IEF,SHORT,0.03640269047357127,0.0,-0.09990810970909443,-0.06350541923552316,-0.06350541923552316,-6.350541923552316,-63505.419235523164,92.9499969482422,-683.2213159822393,100.0,0.0
2026-07-31,2026-08,FXF,SHORT,0.004128607195822505,0.0,-0.07625145863715034,-0.07212285144132784,-0.07212285144132784,-7.2122851441327835,-72122.85144132783,109.04000091552734,-661.4348022355666,100.0,0.0
2026-07-31,2026-08,USD_CASH,BORROW,,,,,-0.20133651154028853,-20.133651154028854,-201336.51154028854,1.0,-201336.51154028854,0.0,0.0
