as_of,return_date,gross_return,net_return,nav_usd,turnover,traded_notional_usd,commission_usd,commission_cost,regulatory_fees_usd,regulatory_fee_cost,slippage_usd,slippage_cost,positive_cash_interest,short_proceeds_interest,margin_benchmark_cost,margin_spread_cost,short_borrow_cost,futures_roll_cost,total_explicit_cost,cash_weight,unencumbered_cash_weight,margin_debit_weight,short_collateral_weight,long_gross_exposure,gross_exposure,net_exposure,short_gross_exposure,borrow_weight,regt_reference_requirement,regt_reference_buffer,portfolio_margin_minimum_cushion,portfolio_margin_status,limit_scale,netted_bil_weight,clipped_assets
2007-12-31,2008-01-31,0.0028742065075391733,0.001930352859158313,1001932.2171896507,0.804341739256181,1608683.478512362,213.21050253280902,0.000213210502532809,2.973526135716187,2.9735261357161867e-06,160.86834785123614,0.00016086834785123614,0.0,1.4023816273368252e-05,0.0011840277777776856,0.00047361111111111106,9.546032196002461e-05,0.0,0.000946123809590897,-0.39131652148763796,0.0,0.5,0.11085714808260923,1.5,1.608683478512362,1.391316521487638,0.10868347851236199,0.5,0.804341739256181,0.19565826074381898,0.2,LIVE_IBKR_CHECK_REQUIRED,0.9377786556061208,0.4370222321903272,
2008-01-31,2008-02-29,0.03564851746704252,0.035106773066883215,1037731.5468676552,0.2819207645785905,564930.9934520575,86.62762196784156,8.646056138490679e-05,13.331280619204833,1.3305571365494299e-05,56.493099345205756,5.638415291571811e-05,0.0,8.852093134525782e-05,0.00032330026828440353,0.00020346912889710752,0.00020163368479409944,0.0,0.0005612530993573261,0.04271717381358198,0.0,0.20267879145307077,0.2503038845719855,1.2026787914530708,1.4480747567197232,0.957282826186418,0.24539596526665244,0.20267879145307077,0.7240373783598616,0.2759626216401384,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.6516629718500433,
2008-02-29,2008-03-31,-0.00769122095466273,-0.008299954495327652,1029154.0678343993,0.17626549687334736,365832.5334595492,44.72752271871961,4.3101246033935825e-05,2.7924467259390733,2.690914364478891e-06,36.58325334595491,3.525309937466946e-05,0.0,0.0001902041219682867,0.0007904237320106314,0.0003200496852110186,0.00020279082881535706,0.0,0.0006038857737994598,-0.09260718521755806,0.0,0.3234885842483253,0.2354990270113824,1.3234885842483253,1.5543699832790923,1.092607185217558,0.23088139903076704,0.3234885842483253,0.7771849916395461,0.22281500836045387,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.6184794053940076,GLD
2008-03-31,2008-04-30,-0.026868505340724293,-0.02759703626344331,1001140.7853684528,0.17638827151086758,363061.4142873757,78.95009144712256,7.67135785735692e-05,6.687100644766561,6.497667214042999e-06,36.30614142873757,3.527765430217351e-05,0.0,0.0,0.0,0.0003107627122364383,0.00027970712268124843,0.0,0.0007089587350074724,0.004735539171746406,0.0,0.32433166398266344,0.3356485472174981,1.3243316639826634,1.6533988671370734,0.9952644608282536,0.3290672031544099,0.32433166398266344,0.8266994335685367,0.1733005664314633,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.5741243529914961,
2008-04-30,2008-05-31,0.00510945573929629,0.004487357284546035,1005643.356531834,0.11326227292550967,226782.96173852155,45.190273963451084,4.513878030333124e-05,1.2262652733949226,1.2248679619456484e-06,22.67829617385216,2.2652454585101935e-05,0.0,0.0,0.0003553031319432399,0.0003495144937045576,0.00020656012283697922,0.0,0.0006250907193919156,-0.12077195803961227,0.0,0.35594477341378217,0.2398762716816533,1.3559447734137822,1.5911175887879518,1.1207719580396123,0.2351728153741699,0.35594477341378217,0.7955587943939759,0.20444120560602408,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.5123917408709981,
2008-05-31,2008-06-30,0.012997280730997119,0.012348682358918877,1018138.718753152,0.22942315122419601,461435.73572642205,71.79208303478451,7.138920827993548e-05,4.1623087829255265,4.138951205604436e-06,46.14357357264221,4.588463024483921e-05,0.0,9.746843582051802e-05,0.0009934831291225795,0.0003912814114066387,0.0001441761622688195,0.0,0.0006568703634058373,-0.2501992636429091,0.0,0.4198182780768145,0.17301139472258342,1.4198182780768145,1.5894372925107199,1.2501992636429091,0.1696190144339053,0.4198182780768145,0.7947186462553599,0.20528135374464007,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.4758035908802015,
2008-06-30,2008-07-31,-0.04084244507660412,-0.041419154308850605,976829.6723990489,0.15962797162341805,325046.8370116627,60.6350882178425,5.955483972959828e-05,6.105166513224315,5.996399508999043e-06,32.504683701166265,3.192559432468361e-05,0.0,7.241444562317356e-05,0.0005877271346884626,0.00030071581379942125,0.00015527728249682828,0.0,0.0005534699298595305,-0.1233228628892169,0.0,0.30010914277175393,0.18032200548018773,1.300109142771754,1.476895422654291,1.123322862889217,0.17678627988253698,0.30010914277175393,0.7384477113271455,0.2615522886728545,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.5850674242984664,
2008-07-31,2008-08-31,-0.0197937524955256,-0.020356257040568027,957146.0981486383,0.2213056416317325,432355.8348303732,85.5947946866151,8.762509688756506e-05,6.365031283817947,6.516009355229476e-06,43.235583483037296,4.426112832634648e-05,0.0,0.0,0.0002252585229841319,0.0002820962566450199,0.00013082637129028453,0.0,0.0005513248625044454,-0.12746122626364853,0.0,0.2764096565751679,0.15192739891774978,1.276409656575168,1.4253580868866873,1.1274612262636485,0.1489484303115194,0.2764096565751679,0.7126790434433437,0.28732095655665635,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.6292140757101758,
2008-08-31,2008-09-30,-0.007085348157302023,-0.007560626427076089,949936.7619555588,0.24234982942093525,463928.3872344725,81.944813873425,8.561369474516683e-05,7.150995113772836,7.471163626540047e-06,46.39283872344725,4.846996588418705e-05,0.0,0.00019625935396258527,0.0010072575516872385,0.00020411529645170207,0.00012614040939719237,0.0,0.0004718105301047884,-0.04429924501468818,0.0,0.19269972665844426,0.15136849127663082,1.1926997266584443,1.3411002083021997,1.0442992450146882,0.14840048164375572,0.19269972665844426,0.6705501041510998,0.32944989584890016,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.6060272935884482,
2008-09-30,2008-10-31,-0.03845067320533865,-0.03880932559464131,913776.5716494841,0.17251293838552406,327752.76417076704,49.17743924917746,5.176917161089734e-05,5.115548146874459,5.385145992606381e-06,32.77527641707671,3.450258767710481e-05,0.0,0.0,0.0,0.00013769083235349891,0.00011571410343507626,0.0,0.0003450618410691837,0.024478863813222063,0.0,0.10726394844682674,0.13437766850524985,1.1072639484468267,1.2390067607068755,0.9755211361867779,0.13174281226004886,0.10726394844682674,0.6195033803534378,0.38049661964656223,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.670353955361624,IEF
