return_date,seasons_core_lev,long_only_lev,tsmom
1997-05-31,,,0.010497558959928242
1997-06-30,,,0.01898961700102095
1997-07-31,,,0.026094785451568316
1997-08-31,,,-0.01830560905264225
1997-09-30,,,0.0160157141641676
1997-10-31,,,0.010816337839744969
1997-11-30,,,0.010882571596681061
1997-12-31,,,0.010334884066194183
1998-01-31,,,0.0146185842161358
1998-02-28,,,1.2035806268600362e-05
1998-03-31,,,0.009501360434866928
1998-04-30,,,0.007386622490221346
1998-05-31,,,0.014305478464316224
1998-06-30,,,0.020979160782773624
1998-07-31,,,0.002977785927134036
1998-08-31,,,0.021110750541256485
1998-09-30,,,0.024775436592938457
1998-10-31,,,-0.014362679681946886
1998-11-30,,,-0.002504996337672448
1998-12-31,,,0.012379900595953335
1999-01-31,,,0.013757029526123178
1999-02-28,,,-0.017507433885243073
1999-03-31,,,-0.00329616138199796
1999-04-30,,,-0.005953360310911327
1999-05-31,,,-0.010294379602703711
1999-06-30,,,0.016407629084266875
1999-07-31,,,0.0036385828523414574
1999-08-31,,,0.006563768428962212
1999-09-30,,,-0.0014966908294347897
1999-10-31,,,0.01159289804750771
1999-11-30,,,0.008468464747090636
1999-12-31,,,0.023425027013338737
2000-01-31,-0.026337353555701513,-0.02696532237754725,-0.004350332342009645
2000-02-29,-0.02820159968217438,0.00381053177041623,-0.0012056935757069815
2000-03-31,0.05738232019116276,0.007012990116224313,0.005035569333640817
2000-04-30,-0.010943137170879894,-0.006030152478941962,-0.009703362483294672
2000-05-31,0.01587538964833854,0.01038163360985252,-0.0010900116255763961
2000-06-30,-0.007121549967583269,0.0006214380690667876,-0.0005769241340953844
2000-07-31,-0.007304270882613503,-0.002504858714431058,-0.004616630721245516
2000-08-31,0.03050016139303759,0.02550602768178823,0.018904315195072772
2000-09-30,-0.003987328463425361,0.003132251429878799,-0.011676389456413274
2000-10-31,0.00861301749945785,0.010696791246022016,0.01615610025489257
2000-11-30,-0.018704188150058126,-0.0015849165469827282,0.02913246305689338
2000-12-31,0.025322393475226208,0.011212405958254743,0.007322689329411852
2001-01-31,0.005699540265416518,-0.010459045124196991,-0.013133379307302618
2001-02-28,-0.007116627001050283,0.004464659534481168,0.031404669151428116
2001-03-31,-0.02919373874714325,-0.012209785463695624,0.02313308843046666
2001-04-30,0.03856324102508366,0.001432006910523941,-0.02348154685394385
2001-05-31,0.006063126192710941,0.005983795931883998,0.005297115361740939
2001-06-30,-0.012628901763272388,-0.010136867187360274,0.002352983486741307
2001-07-31,0.0028384835911476427,0.009052603427946528,0.023575716735437523
