as_of,return_date,strategy_return,gross_strategy_return,static_blend_return,spy_return,sixty_forty_return,gsmif_policy_return,cash_return,turnover,vol_scale,modal_season,confidence,p_spring,p_summer,p_fall,p_winter,liquidity_z,credit_stress,n_assets,decision_before_return
1999-12-31,2000-01-31,-0.02633735355570149,-0.02583735355570149,-0.01827344135081929,-0.05106950357149732,-0.031055493110819635,,0.004319429053334683,0.5,1.0,SUMMER,0.19225361055026247,0.09916747363840366,0.5026563577855627,0.3325653990468895,0.0656107695291442,-0.4408391208862677,False,13,True
2000-01-31,2000-02-29,-0.028201599682174373,-0.02815210753696241,-0.019482354331935986,-0.015342752317144773,-0.00441023025257717,,0.004501215692186547,0.0494921452119627,1.0,SUMMER,0.1211569516348111,0.14029078998683295,0.4580042507798271,0.3075114556397628,0.09419350359357716,-0.36670263455074137,False,13,True
2000-02-29,2000-03-31,0.057382320191162704,0.057397012211723906,0.044997782079412706,0.09250107230744319,0.06182750956339861,,0.004611674586096828,0.014692020561204078,1.0,SUMMER,0.13249124449166638,0.12645692438455272,0.45610996110080243,0.3268215313419968,0.09061158317264803,-0.2739878451315479,False,13,True
2000-03-31,2000-04-30,-0.010943137170879889,-0.010869581750382162,-0.009231996850979947,-0.035752271005064444,-0.02328111865404787,,0.004588017145673359,0.07355542049772625,0.9849474302913767,SUMMER,0.19012734280464016,0.12526154958539829,0.5386286287561345,0.27269325297690344,0.06341656868156384,-0.411765493783383,False,14,True
2000-04-30,2000-05-31,0.01587538964833855,0.01593689012075205,0.005084605666508096,-0.015847422333553435,-0.010136015862176771,,0.004690484250882736,0.06150047241349931,0.9377710091740497,SUMMER,0.28162803733102393,0.07428720157579746,0.582729883498739,0.3042027347491261,0.038780180176337366,-0.4971576968786285,False,14,True
2000-05-31,2000-06-30,-0.007121549967583243,-0.007026013373352144,0.00549492443090606,0.019489978052200537,0.020201402754782688,,0.004611674586096828,0.09553659423109945,1.0,SUMMER,0.1406640658294469,0.12552298885741964,0.46821179037234617,0.32037565094234854,0.08588956982788565,-0.46484457857249134,False,14,True
2000-06-30,2000-07-31,-0.0073042708826135515,-0.007196742123348352,-0.006233263529564798,-0.015826370816048523,-0.005889772506310968,,0.004824289867981499,0.10752875926519885,1.0,SUMMER,0.0492174085341911,0.16256718306270354,0.34900344485836826,0.3332160294626137,0.1552133426163145,-0.40491252227624347,False,14,True
2000-07-31,2000-08-31,0.03050016139303767,0.03061193319763957,0.035799819128898756,0.06329460364138295,0.04385096539053413,,0.004926467040257305,0.11177180460189928,1.0,FALL,0.013512304823933952,0.18846935039853613,0.22653085099598852,0.31932635638554335,0.265673442219932,-0.3024379316217113,False,14,True
2000-08-31,2000-09-30,-0.003987328463425308,-0.003887747628532203,-0.01236890673725051,-0.05642453434321923,-0.030312530559018402,,0.004855742343664659,0.0995808348931048,1.0,FALL,0.08585881256969641,0.11014912147688559,0.2634305948139899,0.4417217015405541,0.1846985821685704,-0.12360464216352197,False,14,True
2000-09-30,2000-10-31,0.008613017499457806,0.00868632502187565,0.002442360831757971,-0.004688729171485556,-0.00053499866084107,,0.004942175491450606,0.07330752241784541,1.0,FALL,0.14135112274965544,0.0798880542666848,0.18539641898828577,0.5134624954197855,0.22125303132524382,0.07256382451978317,False,14,True
2000-10-31,2000-11-30,-0.018704188150058143,-0.018640425648815587,-0.02773593765005957,-0.07758715985680047,-0.03920447187785104,,0.004989283086449099,0.06376250124255557,1.0,FALL,0.06960851219592534,0.12036732718274479,0.20517853833232635,0.42508146514736034,0.24937266933756852,0.06717382740341356,False,14,True
2000-11-30,2000-12-31,0.025322393475226274,0.02538554018558752,0.029931814748972333,-0.00523997321158036,0.004023088631202295,,0.004674728279322608,0.06314671036124472,1.0,FALL,0.08699906035370386,0.11452668946583582,0.15710899595771263,0.4212722859888775,0.30709202858757406,-0.011489043765211744,False,14,True
2000-12-31,2001-01-31,0.005467242972774922,0.005553066682566045,0.01363571685593744,0.04349968199078189,0.033168676304244915,,0.0041848096800514815,0.08582370979112311,1.0,WINTER,0.15111573406090417,0.09886828680974431,0.09010565372152295,0.3867095805282716,0.42431647894046115,-0.02561875836455225,False,14,True
2001-01-31,2001-02-28,-0.005041419640722168,-0.005011136217386462,-0.021331206674304066,-0.10024877718584961,-0.05505521153982742,,0.003970554455612752,0.03028342333570594,1.0,FALL,0.20219455559327937,0.06899408542268476,0.07605988641680117,0.44829587890459005,0.4066501492559241,0.3466394248970299,False,14,True
2001-02-28,2001-03-31,-0.022131812715884006,-0.022085412159166477,-0.03348238176723974,-0.05766831973409351,-0.0319364495146534,,0.0036042534995261518,0.04640055671752913,1.0,FALL,0.21513777847571136,0.06145965799270245,0.07616005970891965,0.47724944425507493,0.385130838043303,0.7434362424219507,False,14,True
2001-03-31,2001-04-30,0.0312342706664701,0.03127839472635091,0.04290928743641144,0.08198554652408668,0.048235272752305124,,0.0031641609376356827,0.0441240598808114,1.0,WINTER,0.19299705066579342,0.07732325436278721,0.07445161193717244,0.41608818396045855,0.43213694973958183,0.9538220111687581,False,14,True
2001-04-30,2001-05-31,0.005463013158296519,0.005558283650204864,0.007074247807672784,-0.005621513289528452,-0.0003870740989215243,,0.0029633479498795035,0.0952704919083448,1.0,WINTER,0.241126006090849,0.10456078372908237,0.048413559229960344,0.26806800423668303,0.5789576528042744,1.0723073580461884,False,14,True
2001-05-31,2001-06-30,-0.00923820559016055,-0.009165651696497213,-0.016505679645853814,-0.024117971322062587,-0.012253995245579824,,0.002858733640999137,0.07255389366333642,1.0,WINTER,0.35597511450748376,0.10354700986712984,0.026572725904261157,0.17764476459961687,0.6922354996289921,1.2083647334628294,False,15,True
2001-06-30,2001-07-31,0.0028469731961921763,0.002953379482234701,-0.0005205339266114533,-0.01024810896798283,0.0028187721605222146,,0.002874836700630672,0.10640628604252467,1.0,WINTER,0.23078473307537162,0.08720440618050365,0.05249144457769858,0.32326377143480384,0.537040377806994,1.3289904595586315,False,17,True
