ticker,column_index
ACWI,0
AGG,1
DBC,2
HYG,3
BIL,4
SPY,5
EEM,6
EFA,7
EWJ,8
EWU,9
EWL,10
EPP,11
XLK,12
SOXX,13
XLE,14
XLB,15
XLI,16
XLY,17
XLP,18
XLV,19
XLU,20
VNQ,21
XHB,22
SHY,23
IEF,24
TLT,25
TIP,26
LQD,27
EMB,28
GLD,29
USO,30
CPER,31
CORN,32
WEAT,33
IWM,34
MTUM,35
QUAL,36
VLUE,37
USMV,38
SPHB,39
