return_date,strategy_return,cash_return,w_seasons_core_lev,w_long_only_lev,w_tsmom,vol_target_scale
2000-01-31,-0.019162241222526476,0.004319429053334683,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0
2000-02-29,-0.008433735030745137,0.004501215692186547,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0
2000-03-31,0.02343866936851453,0.004611674586096828,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0
2000-04-30,-0.008890040644694194,0.004588017145673359,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0
2000-05-31,0.008413958201331192,0.004690484250882736,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0
2000-06-30,-0.0023532261205985836,0.004611674586096828,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0
2000-07-31,-0.004806658216086297,0.004824289867981499,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0
2000-08-31,0.024981442152837676,0.004926467040257305,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0
2000-09-30,-0.004158873652111324,0.004855742343664659,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0
2000-10-31,0.011827030283292891,0.004942175491450606,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0
2000-11-30,0.0031440365544464217,0.004989283086449099,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0
2000-12-31,0.01464910764941303,0.004674728279322608,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0
2001-01-31,-0.014685983696526921,0.0041848096800514815,0.19590134394724154,0.3974681158768579,0.4066305401759006,1.5
2001-02-28,0.017325924358539715,0.003970554455612752,0.20527369402594156,0.39816724017476224,0.3965590657992962,1.5
2001-03-31,-0.00642915990874851,0.0036042534995261518,0.21793484912568914,0.4249185357616683,0.3571466151126424,1.5
2001-04-30,-0.00028829361586663976,0.0031641609376356827,0.2165086005093785,0.42754461831300544,0.355946781177616,1.5
2001-05-31,0.00717096847453065,0.0029633479498795035,0.2121070173608815,0.4525334342562662,0.3353595483828523,1.5
2001-06-30,-0.01113427607536397,0.002858733640999137,0.21252990349010883,0.4513431937485777,0.33612690276131346,1.5
2001-07-31,0.0176021365796573,0.002874836700630672,0.21334857459196738,0.4453533997196752,0.34129802568835743,1.5
2001-08-31,0.00391239491393081,0.0027539878371835255,0.21805066577212834,0.44879697583153744,0.33315235839633417,1.5
2001-09-30,0.011451301455275058,0.0021714611932742343,0.2172205203691142,0.4525846964147942,0.3301947832160916,1.5
2001-10-31,0.024006707726167337,0.0017808354780158469,0.2076059268374158,0.49268543015697547,0.29970864300560884,1.5
2001-11-30,-0.02927951514493035,0.0015439420511570983,0.20880773274378514,0.4802498493111894,0.31094241794502553,1.5
2001-12-31,-0.013154495927771645,0.001396565317912747,0.2258444755056502,0.4809770120913425,0.29317851240300724,1.5
2002-01-31,0.006488582331790573,0.0013637795071886347,0.22900238678374987,0.4761618709032923,0.29483574231295784,1.5
2002-02-28,0.008216746350832079,0.0014211462138189594,0.2181243487757155,0.5070746259300252,0.27480102529425937,1.5
2002-03-31,-0.007743944720082107,0.0014784734563461958,0.22427834093455032,0.5028821225282272,0.27283953653722254,1.5
2002-04-30,-0.004027113699234621,0.0014129533874511274,0.251425539896361,0.4951978555252609,0.2533766045783781,1.5
2002-05-31,0.013853799159692022,0.001429338234797213,0.25182218902978293,0.49308668591312915,0.2550911250570879,1.5
2002-06-30,-0.025669006876239117,0.0014047597555352236,0.2544710261445718,0.4901554478766701,0.2553735259787582,1.5
2002-07-31,-0.004605428504255547,0.0013883700744256335,0.2507296633151532,0.4767034931478573,0.27256684353698957,1.5
2002-08-31,0.029301159526551504,0.0013391816814578808,0.23670204445185994,0.4937509395390175,0.26954701600912245,1.5
2002-09-30,0.012633861549924385,0.0013473817634656235,0.23760187354266965,0.4967048482529065,0.2656932782044237,1.5
2002-10-31,-0.011275710146361502,0.001306373282083926,0.23307746506691351,0.499571089348371,0.2673514455847155,1.5
2002-11-30,-0.004508533676860286,0.0010187474685470876,0.2349667413329331,0.5022094060371777,0.26282385262988917,1.5
2002-12-31,0.012510934676409957,0.0009858126461317674,0.2342650353203189,0.5052569621210692,0.2604780025586119,1.5
2003-01-31,-0.004106189465202866,0.000969340352475715,0.23907982407926645,0.5041766817500598,0.2567434941706737,1.5
2003-02-28,0.01353905189532416,0.0009693403524759369,0.23569358885954464,0.5067147018896707,0.2575917092507848,1.5
2003-03-31,-0.0121515636246165,0.0009363859938320451,0.23649797008897291,0.4981807079516648,0.2653213219593624,1.5
2003-04-30,0.008068464275163091,0.0009363859938322669,0.24011845549404479,0.4942426549843461,0.2656388895216091,1.5
2003-05-31,0.06832041786874811,0.0008869300082068699,0.24331047808755007,0.4882376777503296,0.26845184416212026,1.5
